District,Centre
Alapuzha,"Govt. South HSS, Cherthala, Alleppey"
Alapuzha,"Govt. South HSS, Cherthala, Alleppey"
Alapuzha,"Govt. South HSS, Cherthala, Alleppey"
Alapuzha,"SDV HSS, Alapuzha Town"
Alapuzha,"Govt GHSS, Amabalapuzha"
Ernakulam,"Jama Ath HSS , PERUMBAVOUR"
Ernakulam,"Jama Ath HSS , PERUMBAVOUR"
Ernakulam,"Govt Polytechnique College, Kothamangalam"
Ernakulam,Muvattupuzha
Ernakulam,North Paravoor
Idukki,"Government Higher Secondary School, Rajakad"
Idukki,"Government Vocational Higher Secondary School,Kumily"
Idukki,"Government Vocational Higher Secondary School,Kumily"
Idukki,"Government Vocational Higher Secondary School,Kumily"
Idukki,GHSS Rajakkad
Kannur,"Mg College, Bus Stand Complex, Iritty"
Kannur,"Mg College, Bus Stand Complex, Iritty"
Kannur,"Al maquar english school, Badariya nagar, Taliparamba"
Kannur,"Al maquar english school, Badariya nagar, Taliparamba"
Kannur,"Al maquar english school, Badariya nagar, Taliparamba"
Kannur,"C-Tac College Of Advanced Studies, City Tower,Mukund Junction, Thalassery"
Kannur,Cycore IT Academy
Kannur,Cycore IT Academy
Kannur,"Airborne Academy, opp. Police station, Payyannur"
Kannur,"Sacred Heart Girls Higher Secondary School, Thalassery"
Kannur,GHSS Mathil
Kannur,Ghss Sreekandapuram
Kasargode,Nehru Arts And Science College
Kasargode,Nehru Arts And Science College
Kollam,Nehru Arts And Science College
Kollam,"Govt Boys Higher Secondary School, Chavara"
Kollam,"Global College (GIIT Center), Kotarrakara"
Kollam,"National institute ofcomputer technology, Kollam Town"
Kollam,"Girls High School, Poruvazhy"
Kollam,"Gurudev Institute of Management Studies, Kadakkal"
Kollam,GHSS Mangad
Kollam,Jawahar Hss Ayoor
Kottayam,Kottayam Town - Location not approved
Kottayam,Kottayam Town - Location not approved
Kottayam,Kottayam Town - Location not approved
Kottayam,Kottayam Town - Location not approved
Kottayam,Kottayam Town - Location not approved
Kottayam,Ponkunnam
Kottayam,GHSS Kanakkary
Kottayam,"GHSS,Thrickodithanam"
Kozhikode,JDT Informative Centre
Kozhikode,JDT Informative Centre
Kozhikode,JDT Informative Centre
Kozhikode,JDT Informative Centre
Kozhikode,"Aircond  Computer Center & ITC  , Madapally"
Kozhikode,"Aircond  Computer Center & ITC  , Madapally"
Kozhikode,GHSS KARAPARAMBA
Kozhikode,"GOVT GIRLS HSS, KOYILANDY, KOZHIKKODE"
Kozhikode,REC GHSS Chathamangalam
Malappuram,"BOONDS COLLEGE, BP ANGADI, TIRUR "
Malappuram,"BOONDS COLLEGE, BP ANGADI, TIRUR "
Malappuram,RMC COLLEGE
Malappuram,RMC COLLEGE
Malappuram,RMC COLLEGE
Malappuram,Areacode cooperative college
Malappuram,Govt.College Malappuram
Malappuram,GHSS THRIKKAVU
Malappuram,GHSS TIRURANGADI
Malappuram,Govt Manavedan HSS Nilambur
Malappuram,Govt Model HSS Calicut University Campus Thenjippalam
Palakkad,"ICS Group of institutions, Mannarkad"
Palakkad,"ICS Group of institutions, Mannarkad"
Palakkad,"Gurukulam College & Computer Center, Chittur"
Palakkad,"Gurukulam College & Computer Center, Chittur"
Palakkad,"Smart Computers, Nemara"
Palakkad,Nelipuzha
Palakkad,GHSS POTTASSERY
Palakkad,GOVT COLLEGE CHITTUR
Palakkad,"Govt Victoria College, palakkad town"
Palakkad,"Govt Victoria College, palakkad town"
Pattanamthitta,Chartered Academy
Trivandrum,"Universal Center Academy, Nedumangad"
Trivandrum,"Universal Center Academy, Nedumangad"
Trivandrum,"Universal Center Academy, Nedumangad"
Trivandrum,"BSS IT Mission Technology Bhavan, Vazhuthacaud"
Trivandrum,Govt HSS Kulathummel Kattakkada
Trivandrum,S M V Govt Model HSS Thiruvananthapuram
Trivandrum,PALLITHURA HSS
Thrissur,"Keats College, Harisha Arcade, Chettiyangadi, Thrissur Town"
Thrissur,"Keats College, Harisha Arcade, Chettiyangadi, Thrissur Town"
Thrissur,"G-Tech College, Near Sree Narayana College, Nattika, Thriprayar"
Thrissur,"G-Tech College, Near Sree Narayana College, Nattika, Thriprayar"
Thrissur,"Panaghad Higher secondry school S.N.Puram,Near kodungallor"
Thrissur,"MercyCollege Guruvayur, Chavakkad"
Thrissur,"IASE Thrissur Town, Thrissur Town"
Thrissur,Elthuruth
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Malabar College (near bathery old bustand)
Wayanad,Govt College Mananthavady
Wayanad,"Govt. Sarvajana HSS, Sulthan Bathery"
